,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
0,0,115,12348.458523,12348.454638025532,2532753.803504951,,r
1,0,117,12323.351728,,,,p
2,1,115,12259.688584,12259.686360094995,216420.59434023933,,r
3,1,117,12234.689885,12234.686160683475,86803.58295726153,,p
4,2,115,12171.610746,12171.608859413047,24635.530615163436,,r
5,2,117,12146.721566,12146.720893400392,13475.052083745233,0.0006725996081513586,p
6,3,115,12084.231559,12084.229196949569,44778.09912086809,,r
7,3,117,12059.453376,12059.45200897663,25446.684283031926,,p
8,4,115,11997.557441,11997.56648704952,21867960.01512389,,r
9,4,117,11972.891783,,,,p
10,5,115,11911.594753,11911.596715022308,40435.70924367125,,r
11,5,117,11887.043207,11887.04349028824,186169.50544610346,-0.0002832882400980452,p
12,6,115,11826.349879,11826.351552341075,120607.96636832594,,r
13,6,117,11801.914092,11801.917066721377,60789.6993377986,,p
14,7,115,11741.829299,11741.835171964773,1294513.2962927478,,r
15,7,117,11717.510983,,,,p
16,8,115,11658.039662,11658.040709297547,23366.498954,,r
17,8,117,11633.840591,11633.842787197758,21687.070518136014,,p
18,9,115,11574.987837,11574.972795916172,14293722.960199634,,r
19,9,117,11550.909858,,,,p
20,10,115,11492.680977,11492.682858184611,53223.65776544982,,r
21,10,117,11468.726008,11468.726281853818,54813.69452073182,-0.00027385381872591097,p
22,11,115,11411.126554,11411.127854116656,98424.1006403076,,r
23,11,117,11387.29659,11387.297800277223,71161.70521209372,,p
24,12,115,11330.332401,11330.332118259586,280707.445287784,0.0002827404132403899,r
25,12,117,11306.629516,11306.626134956463,951565.7399395404,,p
26,13,115,11250.306734,11250.306129743669,14896.801766799306,0.0006042563309165416,r
27,13,117,11226.733087,11226.733387447714,11434.257853483643,-0.0003004477130161831,p
28,14,115,11171.058174,,,,r
29,14,117,11147.61601,,,,p
30,15,115,11092.595761,11092.59493014959,8673.200491833895,0.0008308504111482762,r
31,15,117,11069.287416,11069.288109473213,9463.8842992712,-0.000693473213686957,p
32,16,115,11014.928961,11014.910623251686,12846735.028922202,,r
33,16,117,10991.756871,10991.756356383685,402100.35483548103,0.0005146163148310734,p
34,17,115,10938.06768,10938.06753269281,9392.62830723392,0.00014730718976352364,r
35,17,117,10915.03438,10915.033687498915,11337.94115381782,0.0006925010839040624,p
36,18,115,10862.022264,10862.024666090136,45154.06844060261,,r
37,18,117,10839.130396,10839.130396393393,47284.36276121651,-3.933928383048624e-07,p
38,19,115,10786.803513,10786.804587149014,10596.749367301785,,r
39,19,117,10764.055829,10764.056484026447,15291.160094281053,-0.000655026446111151,p
40,20,115,10712.422688,10712.421743804156,9419.679666120068,0.0009441958445677301,r
41,20,117,10689.82206,10689.823291060773,11109.612978452069,,p
42,21,115,10638.891529,10638.895015317523,25309.221898437772,,r
43,21,117,10616.44095,10616.43882930356,173160.26023118675,,p
44,22,115,10566.222268,10566.223294722928,2971.1896206285846,-0.0010267229281453183,r
45,22,117,10543.92486,10543.925748213305,2204.7641407530964,-0.0008882133060978958,p
46,23,115,10494.427655,10494.431488225167,75182.949124209,,r
47,23,117,10472.286677,,,,p
48,24,115,10423.520979,10423.521318957979,5450.31369287621,-0.00033995797821262386,r
49,24,117,10401.539834,10401.540415423084,1657.7302879168465,-0.0005814230844407575,p
50,25,115,10353.516103,,,,r
51,25,117,10331.698343,,,,p
