,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
1,0,69,12667.146804,,,,p
3,1,69,12576.452203,,,,p
5,2,69,12486.425817,12486.427114214841,28780.605284712667,-0.001297214841542882,p
7,3,69,12397.072988,12397.073358624612,9333.541744262995,-0.000370624611605308,p
9,4,69,12308.398935,12308.403452395834,35204.341555967876,-0.004517395835136995,p
11,5,69,12220.40883,12220.486890910086,2230988.7665884844,,p
13,6,69,12133.107865,12133.108968099035,41330.95349126085,-0.001103099035390187,p
15,7,69,12046.501326,12046.503360283908,36860.8837718171,-0.0020342839088698383,p
17,8,69,11960.594648,,,,p
19,9,69,11875.393474,11875.394426529805,16470.229625388616,-0.0009525298046355601,p
21,10,69,11790.903696,11790.90228163373,178055.3313473854,0.0014143662701826543,p
23,11,69,11707.131494,,,,p
25,12,69,11624.083363,11624.08339844062,16129.915156137078,-3.544062019500416e-05,p
27,13,69,11541.766134,,,,p
29,14,69,11460.186983,11460.187176349164,28614.289411315684,-0.00019334916396474,p
31,15,69,11379.353441,,,,p
33,16,69,11299.273396,11299.274601768098,112455.62024596015,-0.0012057680978614371,p
35,17,69,11219.955095,11219.95723999554,13469.250881380063,-0.002144995540220407,p
37,18,69,11141.407148,,,,p
39,19,69,11063.638526,11063.63920932649,5871.688201113254,-0.00068332648879732,p
41,20,69,10986.65857,,,,p
43,21,69,10910.477001,10910.478994696943,7994.1070218985515,-0.001993696943827672,p
45,22,69,10835.10393,10835.10549549887,57179.47626451271,-0.0015654988710593898,p
47,23,69,10760.549881,10760.551940230074,5045.147837413089,-0.002059230073427898,p
49,24,69,10686.825804,10686.826825528831,13012.010192521815,-0.0010215288311883342,p
51,25,69,10613.943104,10613.944656342239,10360.692296471532,-0.0015523422389378538,p
53,26,69,10541.913667,10541.914046813452,1797.966513204319,-0.00037981345121806953,p
55,27,69,10470.749881,10470.749546025401,74338.6346050723,0.0003349745984451147,p
57,28,69,10400.464668,10400.465637865505,1488.227381925889,-0.0009698655048850924,p
59,29,69,10331.071508,,,,p
61,30,69,10262.584461,10262.586018910924,1001.4945735333966,-0.001557910924020689,p
63,31,69,10195.018192,,,,p
65,32,69,10128.38799,10128.390761683555,915.1499126543343,-0.0027716835556930164,p
67,33,69,10062.709785,10062.72051078427,47619.112950203606,-0.010725784270107397,p
69,34,69,9998.00017,9998.003992614707,884.5505185076605,-0.003822614708042238,p
71,35,69,9934.276413,9934.280376212744,6041.067702642162,-0.003963212744565681,p
73,36,69,9871.556477,9871.56106893928,813.5911674882567,-0.004591939279634971,p
75,37,69,9809.859043,9809.863087104799,1430.106191337656,-0.004044104798595072,p
77,38,69,9749.203527,9749.207107274658,807.5610297775859,-0.0035802746588160517,p
79,39,69,9689.610111,9689.614587133752,3783.7566499523655,-0.004476133752177702,p
81,40,69,9631.099771,,,,p
83,41,69,9573.694317,9573.696270882027,1278.1701452078603,-0.0019538820270099677,p
85,42,69,9517.41643,9517.417299176945,3364.6847778516253,-0.0008691769453434972,p
87,43,69,9462.289709,9462.288293074072,2044.4251629282464,0.001415925928085926,p
89,44,69,9408.338723,9408.33957331871,358.5093775362608,-0.0008503187091264408,p
91,45,69,9355.589057,9355.589849806343,976.9402011054556,-0.000792806344179553,p
93,46,69,9304.067366,9304.068551788407,7837.596374826914,-0.0011857884073833702,p
95,47,69,9253.801425,9253.805983745406,6267.05413918942,-0.0045587454060296295,p
97,48,69,9204.820179,9204.82397290891,547684.3149313857,-0.003793908908846788,p
99,49,69,9157.153783,,,,p
101,50,69,9110.83364,,,,p
103,51,69,9065.892435,,,,p
105,52,69,9022.364155,,,,p
107,53,69,8980.284113,,,,p
109,54,69,8939.688961,,,,p
111,55,69,8900.616701,,,,p
113,56,69,8863.106702,,,,p
115,57,69,8827.199706,,,,p
117,58,69,8792.937843,,,,p
119,59,69,8760.364642,,,,p
121,60,69,8729.525028,,,,p
123,61,69,8700.465298,,,,p
125,62,69,8673.233066,,,,p
127,63,69,8647.877127,,,,p
129,64,69,8624.447229,,,,p
131,65,69,8602.993688,,,,p
133,66,69,8583.566798,,,,p
135,67,69,8566.215964,,,,p
137,68,69,8550.988485,,,,p
139,69,69,8537.927909,,,,p
141,70,69,8527.071893,,,,p
143,71,69,8518.449507,,,,p
145,72,69,8512.077972,,,,p
147,73,69,8507.958863,,,,p
149,74,69,8506.073916,,,,p
151,75,69,8506.380695,,,,p
153,76,69,8508.808573,,,,p
155,77,69,8513.255725,,,,p
157,78,69,8519.58819,,,,p
159,79,69,8527.642493,,,,p
161,80,69,8537.233909,,,,p
