,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
0,0,67,12682.300803,,,,r
2,1,67,12591.545784,,,,r
4,2,67,12501.45828,12501.457615009262,54386.93492508539,0.0006649907390965382,r
6,3,67,12412.043584,12412.044220811478,10310.364670900974,-0.000636811479125754,r
8,4,67,12323.306869,,,,r
10,5,67,12235.253262,,,,r
12,6,67,12147.887914,12147.891647934746,71991.61998881395,-0.003733934745469014,r
14,7,67,12061.216069,12061.218423119775,58217.62437287441,-0.002354119775191066,r
16,8,67,11975.243124,11975.198189275114,4753684.664030386,,r
18,9,67,11889.974682,11889.977464227946,13306.620104021365,-0.002782227946227067,r
20,10,67,11805.416595,11805.416008298433,155255.05881144878,0.000586701567954151,r
22,11,67,11721.575006,11721.573535510413,321305.8756369903,0.0014704895856993971,r
24,12,67,11638.45637,11638.456099358993,19233.165836264718,0.00027064100686402526,r
26,13,67,11556.067476,,,,r
28,14,67,11474.415458,11474.415379952348,15082.334167926821,7.80476511863526e-05,r
30,15,67,11393.507805,11393.508039920325,274236.2686766224,-0.00023492032596550416,r
32,16,67,11313.35236,11313.351030063119,72917.11777793188,0.0013299368820298696,r
34,17,67,11233.957322,11233.958102463792,17248.52361017565,-0.000780463791670627,r
36,18,67,11155.33125,,,,r
38,19,67,11077.483063,11077.484683354063,6215.819324205123,-0.0016203540635615354,r
40,20,67,11000.422048,,,,r
42,21,67,10924.157867,10924.160236362952,4802.541070944099,-0.0023693629518675152,r
44,22,67,10848.700571,10848.698899172248,99143.10975552133,0.0016718277511245105,r
46,23,67,10774.060617,10774.061630490613,4696.756319033072,-0.001013490613331669,r
48,24,67,10700.248889,10700.250346424535,9207.573881366283,-0.0014574245342373615,r
50,25,67,10627.276722,10627.27857942388,16662.468903969602,-0.0018574238802102627,r
52,26,67,10555.155925,10555.156690235717,2356.338933066502,-0.0007652357180631952,r
54,27,67,10483.898811,10483.900500773387,15186.80458135169,-0.0016897733876248822,r
56,28,67,10413.51822,10413.518140119495,3662.016917151201,7.988050492713228e-05,r
58,29,67,10344.027544,,,,r
60,30,67,10275.440757,10275.442155151788,2603.653888320783,-0.00139815178772551,r
62,31,67,10207.772429,,,,r
64,32,67,10141.037751,10141.040360093015,916.5477139369182,-0.0026090930150530767,r
66,33,67,10075.252551,,,,r
68,34,67,10010.433313,10010.437387833214,860.9595053996813,-0.004074833213962847,r
70,35,67,9946.597191,9946.608504994314,190032.47736839106,-0.011313994313240983,r
72,36,67,9883.76203,9883.766094548571,808.9737421386849,-0.004064548571477644,r
74,37,67,9821.946381,9821.952636331818,1862.9119891990867,-0.006255331818465493,r
76,38,67,9761.169526,9761.173659344742,376.5708467699491,-0.004133344742513145,r
78,39,67,9701.451502,9701.455798038327,3238.9479178754946,-0.0042960383270838065,r
80,40,67,9642.813133,9642.814347484624,6374.493843200057,-0.0012144846241426421,r
82,41,67,9585.276064,9585.277947596796,1050.1958975363946,-0.0018835967966879252,r
84,42,67,9528.862801,9528.864916110137,4156.182303418086,-0.002115110137310694,r
86,43,67,9473.596755,9473.59694337352,792.4095903967543,-0.0001883735203591641,r
88,44,67,9419.502291,9419.503157698147,374.237579842122,-0.0008666981466376456,r
90,45,67,9366.604777,9366.603153558219,2089.5582534096234,0.00162344178170315,r
92,46,67,9314.930634,,,,r
94,47,67,9264.507385,9264.509578269242,11843.758640145921,-0.0021932692416157806,r
96,48,67,9215.363701,,,,r
98,49,67,9167.529443,9167.534181294352,1127093.724125859,-0.004738294352137018,r
100,50,67,9121.035695,,,,r
102,51,67,9075.914794,,,,r
104,52,67,9032.200353,9032.240741130068,9001840.77812898,,r
106,53,67,8989.927271,,,,r
108,54,67,8949.131752,,,,r
110,55,67,8909.851302,,,,r
112,56,67,8872.124744,,,,r
114,57,67,8835.992212,,,,r
116,58,67,8801.495161,,,,r
118,59,67,8768.676359,,,,r
120,60,67,8737.579874,,,,r
122,61,67,8708.251036,,,,r
124,62,67,8680.736355,,,,r
126,63,67,8655.083367,,,,r
128,64,67,8631.340381,,,,r
130,65,67,8609.55606,,,,r
132,66,67,8589.778802,,,,r
134,67,67,8572.055837,,,,r
136,68,67,8556.431967,,,,r
138,69,67,8542.947884,,,,r
140,70,67,8531.63798,,,,r
142,71,67,8522.527613,,,,r
144,72,67,8515.629792,,,,r
146,73,67,8510.941345,,,,r
148,74,67,8508.438688,,,,r
150,75,67,8508.073456,,,,r
152,76,67,8509.768476,,,,r
154,77,67,8513.414751,,,,r
156,78,67,8518.870551,,,,r
158,79,67,8525.964083,,,,r
160,80,67,8534.50185,,,,r
