,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
0,0,75,13824.650735,,,,r
1,0,77,13807.784826,,,,p
2,1,75,13734.14861,,,,r
3,1,77,13717.350632,,,,p
4,2,75,13644.316954,,,,r
5,2,77,13627.58771,,,,p
6,3,75,13555.161259,,,,r
7,3,77,13538.501601,,,,p
8,4,75,13466.686885,,,,r
9,4,77,13450.097718,,,,p
10,5,75,13378.899142,,,,r
11,5,77,13362.381416,,,,p
12,6,75,13291.803355,,,,r
13,6,77,13275.358065,,,,p
14,7,75,13205.404936,,,,r
15,7,77,13189.033124,,,,p
16,8,75,13119.709447,,,,r
17,8,77,13103.412197,,,,p
18,9,75,13034.722655,,,,r
19,9,77,13018.501096,,,,p
20,10,75,12950.450576,12950.444707878229,65830.8590518591,-0.005868121770618018,r
21,10,77,12934.30588,,,,p
22,11,75,12866.899515,,,,r
23,11,77,12850.832898,12850.815628717559,278239.732581601,-0.01726928244170267,p
24,12,75,12784.076095,12784.050706428721,18328477.30796789,-0.025388571279108874,r
25,12,77,12768.088819,,,,p
26,13,75,12701.987276,12701.998033961501,2997540.638767587,0.01075796150144015,r
27,13,77,12686.08065,,,,p
28,14,75,12620.640369,12620.631703732537,380247.3447792155,-0.008665267463584314,r
29,14,77,12604.815749,12604.807057111138,252111.62745176777,-0.008691888860994368,p
30,15,75,12540.043046,12540.034743286034,146874.8893044121,-0.008302713966259034,r
31,15,77,12524.301837,,,,p
32,16,75,12460.20334,12460.212335957485,1071934.3248515024,0.00899595748524007,r
33,16,77,12444.547002,,,,p
34,17,75,12381.129653,,,,r
35,17,77,12365.559699,,,,p
36,18,75,12302.830753,12302.822711516594,152946.43977355384,-0.008041483406486805,r
37,18,77,12287.348754,12287.342581210654,235009.3096742209,-0.0061727893462375505,p
38,19,75,12225.315782,12225.31001107637,307669.83262579184,-0.00577092362982512,r
39,19,77,12209.923368,12209.918852521847,377940.32453497994,-0.004515478152825381,p
40,20,75,12148.594259,,,,r
41,20,77,12133.293126,12133.300896155311,8576982.504680244,0.0077701553109363886,p
42,21,75,12072.676091,,,,r
43,21,77,12057.468,12057.463875744834,608333.5016974164,-0.004124255166971125,p
44,22,75,11997.571589,11997.564240856975,320039.60762149765,-0.0073481430245010415,r
45,22,77,11982.458373,11982.458321383865,682355.2652969506,-5.161613444215618e-05,p
46,23,75,11923.291481,,,,r
47,23,77,11908.275045,,,,p
48,24,75,11849.846936,11849.86489127179,3693507.146867305,0.0179552717909246,r
49,24,77,11834.929265,,,,p
50,25,75,11777.249589,,,,r
51,25,77,11762.432746,11762.4280804676,218223.2128766778,-0.004665532400395023,p
52,26,75,11705.511562,,,,r
53,26,77,11690.797699,11690.787274248083,868833.8929572493,-0.01042475191752601,p
54,27,75,11634.645496,,,,r
55,27,77,11620.036853,11620.030763560593,11503114.266384156,-0.00608943940642348,p
56,28,75,11564.664575,11564.656479065954,110278.89835809317,-0.008095934046650655,r
57,28,77,11550.163484,11550.15901151564,88300.33542729421,-0.004472484361031093,p
58,29,75,11495.582553,,,,r
59,29,77,11481.191447,11481.189584332722,863391.2412551114,-0.0018626672772370512,p
60,30,75,11427.413778,11427.398599767386,4919640.282001146,-0.015178232613834552,r
61,30,77,11413.13519,,,,p
62,31,75,11360.173217,11360.168423854419,46993.83672315596,-0.004793145581061253,r
63,31,77,11346.009789,11346.003142692885,88336.13048900361,-0.006646307114351657,p
64,32,75,11293.876473,11293.879024212107,424053.9286447335,0.002551212106482126,r
65,32,77,11279.83096,11279.822566353898,178245.31171695373,-0.008393646101467311,p
66,33,75,11228.53981,,,,r
67,33,77,11214.615087,,,,p
68,34,75,11164.180171,11164.175039507145,55014.672968430285,-0.005131492855070974,r
69,34,77,11150.379237,11150.376525798174,73195.94654792579,-0.002711201825150056,p
70,35,75,11100.815192,11100.811873426395,369669.834756212,-0.003318573604701669,r
71,35,77,11087.14118,11087.135726011522,119970.47913821903,-0.005453988478620886,p
72,36,75,11038.463229,,,,r
73,36,77,11024.919411,,,,p
74,37,75,10977.143374,10977.138417797967,43220.91869268583,-0.004956202032190049,r
75,37,77,10963.733174,10963.722947967924,36389.4262283253,-0.010226032076388947,p
76,38,75,10916.875484,10916.869745912716,85302.09591630255,-0.005738087284044013,r
77,38,77,10903.602483,10903.59540961926,35997.88529710944,-0.00707338074062136,p
78,39,75,10857.680211,,,,r
79,39,77,10844.54816,,,,p
80,40,75,10799.579033,10799.573349566275,22042.417163926886,-0.005683433724698261,r
81,40,77,10786.591864,10786.585713051214,41780.188514893336,-0.0061509487859439105,p
82,41,75,10742.594295,10742.58893867545,32782.887856613976,-0.005356324551030411,r
83,41,77,10729.756135,10729.750460615822,24385.080152107334,-0.005674384177837055,p
84,42,75,10686.749254,,,,r
85,42,77,10674.064441,,,,p
86,43,75,10632.068128,10632.059588825905,32074.070633444557,-0.00853917409585847,r
87,43,77,10619.541223,10619.533621686558,42380.65829995591,-0.007601313442137325,p
88,44,75,10578.57615,10578.567155785235,8397.158804147397,-0.008994214766062214,r
89,44,77,10566.211956,10566.203284658479,9947.973297894243,-0.008671341520312126,p
90,45,75,10526.29962,,,,r
91,45,77,10514.103204,,,,p
92,46,75,10475.265967,10475.256968268248,64783.51361958849,-0.008998731751489686,r
93,46,77,10463.242676,,,,p
94,47,75,10425.503801,10425.49646161046,5536.283426053661,-0.007339389539993135,r
95,47,77,10413.659287,,,,p
96,48,75,10377.042968,10377.03715619243,35517.7156273358,-0.005811807570353267,r
97,48,77,10365.383216,10365.379754172016,13093.167099923352,-0.003461827984210686,p
98,49,75,10329.914599,10329.922208845435,17778.406614650954,0.007609845435581519,r
99,49,77,10318.445953,,,,p
100,50,75,10284.151159,10284.150391437548,24681.478357673983,-0.0007675624510738999,r
101,50,77,10272.880353,10272.879000826526,42922.5056906979,-0.001352173474515439,p
102,51,75,10239.786486,10239.784728167275,1139.077611649313,-0.0017578327260707738,r
103,51,77,10228.720679,10228.72124526375,1796.9429497572803,0.0005662637504428858,p
104,52,75,10196.855825,10196.85966418077,23699.885069186057,0.0038391807702282676,r
105,52,77,10186.002646,10186.003593698886,21545.08521789508,0.0009476988852838986,p
106,53,75,10155.395868,10155.399261925239,1461.6984253194216,0.0033939252389245667,r
107,53,77,10144.763454,10144.769136035895,567.7081058902041,0.0056820358950062655,p
108,54,75,10115.44478,10115.449689837878,371.68205688925804,0.004909837878585677,r
109,54,77,10105.041837,10105.046646429335,747.3996096936293,0.004809429334272863,p
110,55,75,10077.042237,10077.047598309584,3128.8161968147765,0.005361309584259288,r
111,55,77,10066.878095,10066.884750301759,6353.745947063448,0.006655301758655696,p
112,56,75,10040.229461,10040.218197590624,146806.15868742423,-0.011263409376624622,r
113,56,77,10030.314152,,,,p
114,57,75,10005.049268,10005.055754251971,654.3928003135277,0.0064862519702728605,r
115,57,77,9995.393605,9995.400352195382,502.98762078549606,0.006747195382558857,p
116,58,75,9971.54611,9971.55201915485,836.3565850942778,0.005909154850087361,r
117,58,77,9962.161791,9962.167632550121,3209.3569124449473,0.005841550120749162,p
118,59,75,9939.766136,9939.770820066167,382.80171603461486,0.004684066167101264,r
119,59,77,9930.665862,9930.670595016174,840.5485666095243,0.004733016174213844,p
120,60,75,9909.757243,,,,r
121,60,77,9900.954857,9900.959247820974,12648.920490079889,0.004390820973640075,p
122,61,75,9881.569117,9881.569779673693,865.4026182488925,0.0006626736940233968,r
123,61,77,9873.079772,9873.080216052558,1805.1791656580767,0.00044405255903257057,p
124,62,75,9855.253247,9855.253084867367,3253.4784094634247,-0.0001621326337044593,r
125,62,77,9847.093604,9847.090948812174,3474.9159743854384,-0.002655187825439498,p
126,63,75,9830.862882,,,,r
127,63,77,9823.051343,,,,p
128,64,75,9808.452897,,,,r
129,64,77,9801.009883,9801.001152664745,44955.67009704045,-0.008730335255677346,p
130,65,75,9788.079528,,,,r
131,65,77,9781.027799,9780.991955620115,2305.6165816774874,,p
