,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
1,0,77,13807.784826,,,,p
3,1,77,13717.350632,,,,p
5,2,77,13627.58771,,,,p
7,3,77,13538.501601,,,,p
9,4,77,13450.097718,,,,p
11,5,77,13362.381416,,,,p
13,6,77,13275.358065,,,,p
15,7,77,13189.033124,,,,p
17,8,77,13103.412197,,,,p
19,9,77,13018.501096,,,,p
21,10,77,12934.30588,,,,p
23,11,77,12850.832898,12850.815628717559,278239.732581601,-0.01726928244170267,p
25,12,77,12768.088819,,,,p
27,13,77,12686.08065,,,,p
29,14,77,12604.815749,12604.807057111138,252111.62745176777,-0.008691888860994368,p
31,15,77,12524.301837,,,,p
33,16,77,12444.547002,,,,p
35,17,77,12365.559699,,,,p
37,18,77,12287.348754,12287.342581210654,235009.3096742209,-0.0061727893462375505,p
39,19,77,12209.923368,12209.918852521847,377940.32453497994,-0.004515478152825381,p
41,20,77,12133.293126,12133.300896155311,8576982.504680244,0.0077701553109363886,p
43,21,77,12057.468,12057.463875744834,608333.5016974164,-0.004124255166971125,p
45,22,77,11982.458373,11982.458321383865,682355.2652969506,-5.161613444215618e-05,p
47,23,77,11908.275045,,,,p
49,24,77,11834.929265,,,,p
51,25,77,11762.432746,11762.4280804676,218223.2128766778,-0.004665532400395023,p
53,26,77,11690.797699,11690.787274248083,868833.8929572493,-0.01042475191752601,p
55,27,77,11620.036853,11620.030763560593,11503114.266384156,-0.00608943940642348,p
57,28,77,11550.163484,11550.15901151564,88300.33542729421,-0.004472484361031093,p
59,29,77,11481.191447,11481.189584332722,863391.2412551114,-0.0018626672772370512,p
61,30,77,11413.13519,,,,p
63,31,77,11346.009789,11346.003142692885,88336.13048900361,-0.006646307114351657,p
65,32,77,11279.83096,11279.822566353898,178245.31171695373,-0.008393646101467311,p
67,33,77,11214.615087,,,,p
69,34,77,11150.379237,11150.376525798174,73195.94654792579,-0.002711201825150056,p
71,35,77,11087.14118,11087.135726011522,119970.47913821903,-0.005453988478620886,p
73,36,77,11024.919411,,,,p
75,37,77,10963.733174,10963.722947967924,36389.4262283253,-0.010226032076388947,p
77,38,77,10903.602483,10903.59540961926,35997.88529710944,-0.00707338074062136,p
79,39,77,10844.54816,,,,p
81,40,77,10786.591864,10786.585713051214,41780.188514893336,-0.0061509487859439105,p
83,41,77,10729.756135,10729.750460615822,24385.080152107334,-0.005674384177837055,p
85,42,77,10674.064441,,,,p
87,43,77,10619.541223,10619.533621686558,42380.65829995591,-0.007601313442137325,p
89,44,77,10566.211956,10566.203284658479,9947.973297894243,-0.008671341520312126,p
91,45,77,10514.103204,,,,p
93,46,77,10463.242676,,,,p
95,47,77,10413.659287,,,,p
97,48,77,10365.383216,10365.379754172016,13093.167099923352,-0.003461827984210686,p
99,49,77,10318.445953,,,,p
101,50,77,10272.880353,10272.879000826526,42922.5056906979,-0.001352173474515439,p
103,51,77,10228.720679,10228.72124526375,1796.9429497572803,0.0005662637504428858,p
105,52,77,10186.002646,10186.003593698886,21545.08521789508,0.0009476988852838986,p
107,53,77,10144.763454,10144.769136035895,567.7081058902041,0.0056820358950062655,p
109,54,77,10105.041837,10105.046646429335,747.3996096936293,0.004809429334272863,p
111,55,77,10066.878095,10066.884750301759,6353.745947063448,0.006655301758655696,p
113,56,77,10030.314152,,,,p
115,57,77,9995.393605,9995.400352195382,502.98762078549606,0.006747195382558857,p
117,58,77,9962.161791,9962.167632550121,3209.3569124449473,0.005841550120749162,p
119,59,77,9930.665862,9930.670595016174,840.5485666095243,0.004733016174213844,p
121,60,77,9900.954857,9900.959247820974,12648.920490079889,0.004390820973640075,p
123,61,77,9873.079772,9873.080216052558,1805.1791656580767,0.00044405255903257057,p
125,62,77,9847.093604,9847.090948812174,3474.9159743854384,-0.002655187825439498,p
127,63,77,9823.051343,,,,p
129,64,77,9801.009883,9801.001152664745,44955.67009704045,-0.008730335255677346,p
131,65,77,9781.027799,9780.991955620115,2305.6165816774874,,p
