,v_pprime,j_pprime,position,gaus,condition_number,delta expt-gaus,pr
0,0,75,13824.650735,,,,r
2,1,75,13734.14861,,,,r
4,2,75,13644.316954,,,,r
6,3,75,13555.161259,,,,r
8,4,75,13466.686885,,,,r
10,5,75,13378.899142,,,,r
12,6,75,13291.803355,,,,r
14,7,75,13205.404936,,,,r
16,8,75,13119.709447,,,,r
18,9,75,13034.722655,,,,r
20,10,75,12950.450576,12950.444707878229,65830.8590518591,-0.005868121770618018,r
22,11,75,12866.899515,,,,r
24,12,75,12784.076095,12784.050706428721,18328477.30796789,-0.025388571279108874,r
26,13,75,12701.987276,12701.998033961501,2997540.638767587,0.01075796150144015,r
28,14,75,12620.640369,12620.631703732537,380247.3447792155,-0.008665267463584314,r
30,15,75,12540.043046,12540.034743286034,146874.8893044121,-0.008302713966259034,r
32,16,75,12460.20334,12460.212335957485,1071934.3248515024,0.00899595748524007,r
34,17,75,12381.129653,,,,r
36,18,75,12302.830753,12302.822711516594,152946.43977355384,-0.008041483406486805,r
38,19,75,12225.315782,12225.31001107637,307669.83262579184,-0.00577092362982512,r
40,20,75,12148.594259,,,,r
42,21,75,12072.676091,,,,r
44,22,75,11997.571589,11997.564240856975,320039.60762149765,-0.0073481430245010415,r
46,23,75,11923.291481,,,,r
48,24,75,11849.846936,11849.86489127179,3693507.146867305,0.0179552717909246,r
50,25,75,11777.249589,,,,r
52,26,75,11705.511562,,,,r
54,27,75,11634.645496,,,,r
56,28,75,11564.664575,11564.656479065954,110278.89835809317,-0.008095934046650655,r
58,29,75,11495.582553,,,,r
60,30,75,11427.413778,11427.398599767386,4919640.282001146,-0.015178232613834552,r
62,31,75,11360.173217,11360.168423854419,46993.83672315596,-0.004793145581061253,r
64,32,75,11293.876473,11293.879024212107,424053.9286447335,0.002551212106482126,r
66,33,75,11228.53981,,,,r
68,34,75,11164.180171,11164.175039507145,55014.672968430285,-0.005131492855070974,r
70,35,75,11100.815192,11100.811873426395,369669.834756212,-0.003318573604701669,r
72,36,75,11038.463229,,,,r
74,37,75,10977.143374,10977.138417797967,43220.91869268583,-0.004956202032190049,r
76,38,75,10916.875484,10916.869745912716,85302.09591630255,-0.005738087284044013,r
78,39,75,10857.680211,,,,r
80,40,75,10799.579033,10799.573349566275,22042.417163926886,-0.005683433724698261,r
82,41,75,10742.594295,10742.58893867545,32782.887856613976,-0.005356324551030411,r
84,42,75,10686.749254,,,,r
86,43,75,10632.068128,10632.059588825905,32074.070633444557,-0.00853917409585847,r
88,44,75,10578.57615,10578.567155785235,8397.158804147397,-0.008994214766062214,r
90,45,75,10526.29962,,,,r
92,46,75,10475.265967,10475.256968268248,64783.51361958849,-0.008998731751489686,r
94,47,75,10425.503801,10425.49646161046,5536.283426053661,-0.007339389539993135,r
96,48,75,10377.042968,10377.03715619243,35517.7156273358,-0.005811807570353267,r
98,49,75,10329.914599,10329.922208845435,17778.406614650954,0.007609845435581519,r
100,50,75,10284.151159,10284.150391437548,24681.478357673983,-0.0007675624510738999,r
102,51,75,10239.786486,10239.784728167275,1139.077611649313,-0.0017578327260707738,r
104,52,75,10196.855825,10196.85966418077,23699.885069186057,0.0038391807702282676,r
106,53,75,10155.395868,10155.399261925239,1461.6984253194216,0.0033939252389245667,r
108,54,75,10115.44478,10115.449689837878,371.68205688925804,0.004909837878585677,r
110,55,75,10077.042237,10077.047598309584,3128.8161968147765,0.005361309584259288,r
112,56,75,10040.229461,10040.218197590624,146806.15868742423,-0.011263409376624622,r
114,57,75,10005.049268,10005.055754251971,654.3928003135277,0.0064862519702728605,r
116,58,75,9971.54611,9971.55201915485,836.3565850942778,0.005909154850087361,r
118,59,75,9939.766136,9939.770820066167,382.80171603461486,0.004684066167101264,r
120,60,75,9909.757243,,,,r
122,61,75,9881.569117,9881.569779673693,865.4026182488925,0.0006626736940233968,r
124,62,75,9855.253247,9855.253084867367,3253.4784094634247,-0.0001621326337044593,r
126,63,75,9830.862882,,,,r
128,64,75,9808.452897,,,,r
130,65,75,9788.079528,,,,r
